country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,2007,43.828,31889923,974.5803384,AFG,4
Bangladesh,Asia,2007,64.062,150448339,1391.253792,BGD,50
Cambodia,Asia,2007,59.723,14131858,1713.778686,KHM,116
China,Asia,2007,72.961,1318683096,4959.114854,CHN,156
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867,HKG,344
India,Asia,2007,64.69800000000001,1110396331,2452.210407,IND,356
Indonesia,Asia,2007,70.65,223547000,3540.651564,IDN,360
Iran,Asia,2007,70.964,69453570,11605.71449,IRN,364
Iraq,Asia,2007,59.545,27499638,4471.061906,IRQ,368
Israel,Asia,2007,80.745,6426679,25523.2771,ISR,376
Japan,Asia,2007,82.603,127467972,31656.06806,JPN,392
Jordan,Asia,2007,72.535,6053193,4519.461171,JOR,400
"Korea, Dem. Rep.",Asia,2007,67.297,23301725,1593.06548,KOR,410
"Korea, Rep.",Asia,2007,78.623,49044790,23348.139730000006,KOR,410
Kuwait,Asia,2007,77.58800000000002,2505559,47306.98978,KWT,414
Lebanon,Asia,2007,71.993,3921278,10461.05868,LBN,422
Malaysia,Asia,2007,74.241,24821286,12451.6558,MYS,458
Mongolia,Asia,2007,66.803,2874127,3095.7722710000007,MNG,496
Myanmar,Asia,2007,62.069,47761980,944.0,MMR,104
Nepal,Asia,2007,63.785,28901790,1091.359778,NPL,524
Oman,Asia,2007,75.64,3204897,22316.19287,OMN,512
Pakistan,Asia,2007,65.483,169270617,2605.94758,PAK,586
Philippines,Asia,2007,71.688,91077287,3190.481016,PHL,608
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194,SAU,682
Singapore,Asia,2007,79.972,4553009,47143.17964,SGP,702
Sri Lanka,Asia,2007,72.396,20378239,3970.095407,LKA,144
Syria,Asia,2007,74.143,19314747,4184.548089,SYR,760
Taiwan,Asia,2007,78.4,23174294,28718.27684,TWN,158
Thailand,Asia,2007,70.616,65068149,7458.396326999998,THA,764
Vietnam,Asia,2007,74.249,85262356,2441.576404,VNM,704
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798,PSE,275
"Yemen, Rep.",Asia,2007,62.698,22211743,2280.769906,YEM,887
